propertyID,name,formerName,streetAddress,city,market,state,lat,lng
74085,Signature at Southern Oaks,Rosemont at Cedar Crest,3303 Southern Oaks,Dallas,DFW,TX,32.71857834,-96.77457428
74088,Rosemont at Hickory Trace,,8410 S Westmoreland Rd,Dallas,DFW,TX,32.64453125,-96.87281799
74091,Rosemont at Pecan Creek,,3500 E McKinney,Denton,DFW,TX,33.2108078,-97.09481049
74092,Signature at Trinity River,Rosemont at Pemberton Hill,220 Stoneport Dr,Dallas,DFW,TX,32.71410751,-96.71286011
74093,Beckley Townhomes,,801 Beckleymeade,Dallas,DFW,TX,32.641017,-96.836029
74095,Rosemont of Lancaster,,1605 N Houston School Rd,Lancaster,DFW,TX,32.60652161,-96.80799103
74096,Rosemont of Oak Hollow,,3015 E Ledbetter,Dallas,DFW,TX,32.69643021,-96.76996613
74101,Courtyards Of Roses,,601 W Rochelle,Irving,DFW,TX,32.84487534,-96.95310211
74106,Royal Arms,,2811 Custer Pkwy,Richardson,DFW,TX,32.99241257,-96.72866058
74111,Corey Place,,602 W Pioneer Pkwy,Grand Prairie,DFW,TX,32.711521,-97.011344
74115,FifteenForty,Royal Orleans,1540 Chenault,Dallas,DFW,TX,32.80238724,-96.68965912
74119,The Royal St. Moritz,,2050 Grayson Dr,Grapevine,DFW,TX,32.91668192,-97.10032493
74120,Royal Terrace,,306 Martha St,Euless,DFW,TX,32.83393097,-97.08680725
74126,Running Brook,,1519 Running Brook,Arlington,DFW,TX,32.72029114,-97.0536499
74128,Marabilla Apartments,Rush Creek,2625 Community,Dallas,DFW,TX,32.85640329,-96.87579654
74131,Rustic Oaks,,401 Fleming,Wylie,DFW,TX,33.011337,-96.544952
74138,Sable Pointe,,4031 North Star,Irving,DFW,TX,32.86289424,-97.00804219
74141,Saddle Brook,,5353 Keller Springs Road,Dallas,DFW,TX,32.96957,-96.81668
74143,The Place at Saddle Creek,,3420 Country Square,Carrollton,DFW,TX,32.96593857,-96.84902954
74145,Saddletree,,5710 Duck Creek,Garland,DFW,TX,32.84789465,-96.60369314
74152,The Vineyards at the Ranch Phase 2,Sage Pointe,9900 Adleta Blvd,Dallas,DFW,TX,32.90329,-96.71101
74161,Parks at Leblanc,Parks at Leblanc,6250 Granbury Cut-Off,Fort Worth,DFW,TX,32.65656662,-97.40840912
74170,San Carlos,,2516 New Orleans,Dallas,DFW,TX,32.81608969,-96.8298208
74174,San Mateo Forest,,7110 San Mateo,Dallas,DFW,TX,32.80656433,-96.73723602
74179,Neo Midtown,San Raphael,14181 Noel Rd,Dallas,DFW,TX,32.94142151,-96.81911469
74181,Beckett Park,San Simeon,3503 Walnut Hill Ln,Irving,DFW,TX,32.86546849,-96.99391499
74186,Sandpebble,,900 W Rochelle,Irving,DFW,TX,32.84311676,-96.95667267
74194,Sandstone at Bear Creek,,1500 Bear Creek Pkwy,Euless,DFW,TX,32.85667419,-97.06782532
74200,Vista Buena,,13350 Maham Rd,Dallas,DFW,TX,32.9299469,-96.76057434
74201,Santa Fe,,9505 Brockbank,Dallas,DFW,TX,32.86435318,-96.87506104
74202,Sandshell at Fossil Creek,Sandshell at Fossil Creek,5701 Sandshell Dr,Fort Worth,DFW,TX,32.84886169,-97.31096649
74205,Santa Fe Ranch,,8203 Ranchview,Irving,DFW,TX,32.92269135,-96.96134949
74206,Santa Fe Trails,,6318 Ridgecrest Rd,Dallas,DFW,TX,32.866111,-96.754211
74209,The Palmer at Las Colinas,Santa Rosa,2940 W Royal Lane,Irving,DFW,TX,32.91141942,-96.98508516
74217,Oak Lawn Heights,,2600 Arroyo Ave,Dallas,DFW,TX,32.81179,-96.820487
74221,The Vibe Denton,Parks of Denton,1610 E McKinney,Denton,DFW,TX,33.21404648,-97.1096344
74224,The Savoy,,7501 Kingswood Dr,Fort Worth,DFW,TX,32.63939381,-97.40013219
74226,Saxon Woods,,4490 Eldorado Pkwy,McKinney,DFW,TX,33.17241669,-96.6739502
74227,Saxony,,14601 Montfort Dr,Dallas,DFW,TX,32.94722222,-96.81657203
74234,The Seasons at Green Oaks,,2175 N Hwy 360,Grand Prairie,DFW,TX,32.78831863,-97.06049347
74240,Marthas Villa,Marthas Villa,5901 Sam Calloway,Fort Worth,DFW,TX,32.77264023,-97.40994263
74242,Element,Sedona Springs,1516 Arbor Town Cir,Arlington,DFW,TX,32.7580452,-97.09386444
74247,Camino Del Sol,,1030 Dallas Dr,Denton,DFW,TX,33.19828796,-97.12602234
74257,Monticello by the Vineyard,Foundations by the Vineyard,2500 St Hwy 121,Euless,DFW,TX,32.850914,-97.110359
74262,Settlers Gate,,1420 W McDermott,Allen,DFW,TX,33.102298,-96.703971
74267,Seven Oaks,,2001 W Campbell Road,Garland,DFW,TX,32.97636,-96.66149
74271,Sevilla Condos,,1455 Perry,Carrollton,DFW,TX,32.95789719,-96.89808655
74272,Seville at Bellmar,,10651 Steppington,Dallas,DFW,TX,32.89250046,-96.77154981
74274,Shadow Brook,,2020 S Cooper,Arlington,DFW,TX,32.71094894,-97.11696625
74276,Shadow Creek,,6715 Buenos Aires Dr,N. Richland Hills,DFW,TX,32.849063,-97.236747
74282,Shadow Ridge,,4001 Hamilton Cir,Arlington,DFW,TX,32.70990753,-97.16967773
